Player,Country,Rating
"Aaron, Manuel",IND,2240
"Acevedo, Armando",MEX,2270
"Adamski, Jan",POL,2370
"Addison, William",USA,2490
"Ader, Walter",CHI,2360
"Adhami, Vangiel",ALB,2250
"Adorjan, Andras",HUN,2475
"Agic, Andja",YUG,1940
"Ajanski, Jordan S",BUL,2320
"Akvist, Hakan",SWE,2310
"Albulet-Pogorevici, Maria",ROM,2075
"Alekhina, Natalia V",URS,2020
"Alexandria, Nana",URS,2335
"Allan, Denis",CAN,2355
"Alster, Ladislav",CSR,2270
"Alvarez, L",URU,2240
"Alzate, Dario",COL,2260
"Ammann, Philipp",SUI,2250
"Amos, Bruce",CAN,2415
"Andersen, Borge",DEN,2400
"Anderson, Bruce",NZL,2290
"Andersson, Ulf",SWE,2535
"Angelov, Kosta",BUL,2315
"Anikaev, Yuri",URS,2475
"Antoshin, Vladimir",URS,2510
"Antunac, Goran",YUG,2430
"Ardijansjah, Haji",INA,2340
"Arnaudov, Petar",BUL,2290
"Asenova, Venka",BUL,2100
"Atanasov, Gospodin",BUL,2450
"Augustin, Jozsef",CSR,2360
"Averbakh, Yuri",URS,2550
"Bachtiar, Arovah",INA,2400
"Badilles, Glicerio",HKG,2270
"Bagirov, Vladimir",URS,2515
"Bajec, Ivo",YUG,2380
"Balashov, Yuri",URS,2560
"Balcerowski, Witold",POL,2365
"Balinas, Rosendo",PHI,2350
"Banas, Jan",CSR,2365
"Bandal, Rosendo",PHI,2260
"Banfalvi, Sander",HUN,2290
"Barcza, Gedeon",HUN,2465
"Barczay, Laszlo",HUN,2450
"Barda, Olaf",NOR,2260
"Barendregt, Johan T.",NED,2325
"Baretic, Dragoljub",YUG,2250
"Barle, Janez",YUG,2250
"Barreras, Alberto",CUB,2440
"Basagic, Zlatko",YUG,2415
"Basman, Michael J",ENG,2385
"Baumbach, Friedrich",DDR,2410
"Baumstark, Gertruda",ROM,2150
"Bednarski, Jacek B",POL,2395
"Belamaric, Tanja",YUG,2150
"Belarbi, Mohamed",MAR,2220
"Belavenetz, Liudmila",URS,2145
"Beliavsky, Alexander G",URS,2420
"Belkadi, Ridha",TUN,2300
"Bellin, Robert",ENG,2315
"Bellon Lopez, Juan Manuel",ESP,2385
"Belmonte, Juan S",CHI,2275
"Benedictsson, Benony",ISL,2300
"Beni, Alfred",AUT,2210
"Benko, Pal C",USA,2515
"Berrios Pagan, Angel",PUR,2250
"Berry, Jonathan",CAN,2240
"Bertok, Mario",YUG,2440
"Beyen, Roland",BEL,2280
"Bhend, Edwin",SUI,2325
"Bilek, Istvan",HUN,2485
"Bilunova, Rimma I",URS,2270
"Bilyap, Siracettin",TUR,2280
"Bisguier, Arthur Bernard",USA,2430
"Biyiasas, Peter",CAN,2390
"Bjelajac-Prokopovic, Olivera",YUG,2100
"Bjerre, Troels",DEN,2320
"Blagojevic-Jovanovic, Katarina",YUG,2260
"Blatny, Frantisek",CSR,2320
"Blau, Max",SUI,2370
"Bleiman, Yaacov",ISR,2450
"Bloch, Nigel",SAF,2210
"Blucha, Dalibor",CSR,2300
"Bobotsov, Milko G",BUL,2455
"Boehnisch, Manfred",DDR,2390
"Boey, Josef",BEL,2390
"Bogdan, Lia",ROM,1930
"Bogdanovic, Rajko",YUG,2420
"Bohm, Hans",NED,2250
"Bohosjan, Sarkis",BUL,2425
"Bolbochan,Julio",ARG,2500
"Boleslavsky, Isaac",URS,2530
"Bonchev, Stoiko",BUL,2230
"Bonner, Gerald",SCO,2240
"Book, Eero",FIN,2340
"Borisenko-Belova, Valentina",URS,2285
"Borisova-Ornstein, Borislava",BUL,2040
"Borngasser, Rene",BRD,2390
"Botez, Constantin",ROM,2370
"Botterill, George S",ENG,2410
"Botvinnik, Mikhail",URS,2630
"Bouaziz, Slim",TUN,2390
"Boudy, Julio",CUB,2310
"Bouteville, Cesar",FRA,2290
"Bouwmeester, Hans",NED,2430
"Brameyer, Hermann",DDR,2260
"Bredewout, Henk",NED,2360
Brichikova,BUL,1985
"Brinck-Claussen, Bjorn",DEN,2375
"Brond, Victor",ARG,2315
"Bronstein, David I",URS,2585
"Bronstein, Luis",ARG,2380
"Browne, Walter S.",AUS,2530
"Bruce, Rowena M",ENG,2020
"Brueggemann, Joachim",DDR,2350
"Bukal, Vladimir",YUG,2425
"Bukic, Enver",YUG,2455
"Buljovcic, Ivan",YUG,2435
"Butnoris, Alsimantas J.",URS,2385
"Bykova, Elizaveta I",URS,1985
"Byrne, Donald",USA,2470
"Byrne, Robert E",USA,2560
"Cafferty, Bernard",ENG,2370
