Player,Country,Rating
"Aaberg,Anton",SWE,2245
"Aagaard,Jacob",DEN,2285
"Aarland, Stein Arild",NOR,2225
"Aaron,Manuel",IND,2375
"Aban, Elbio",ARG,2230
"Abarca-Aguirre, Manuel",CHI,2365
"Abayasekera,Roger",ENG,2280
"Abbas, B H",IRQ,2210
"Abbasi, Rania",SYR,2005
"Abbou, Meriem",ALG,2005
"Abdennabi,Imed",EGY,2395
"Abdul Karim, Al-Audari",YEM,2205
"Abdul Majeed, N",IND,2240
"Abdul Moula, Sabri",YEM,2205
"Abdul Satar, M A",IRQ,2240
"Abdul, Majeed N.",IND,2255
"Abdullaeva,U",AZE,2180
"Abdullah, A Hamedo",MAR,2220
"Abdullah, Mansoor",UAE,2280
"Abel,Lajos",HUN,2430
"Abella, Roger",PHI,2330
"Abibula,Aytechin",ROM,2350
"Abou.El.Zein,Eid.Mahmoud",EGY,2340
"Abouchaaya, Tony",AUS,2215
"Abramovic,Bosko",YUG,2475
"Abramson,Horacio",ARG,2225
"Abravanel,Chely",FRA,2320
"Abregu, Miguel",ARG,2220
"Abreu, Jorge D.",DOM,2385
"Abroshina, I",RUS,2075
"Absmaier,Friedrich",GER,2250
"Abundo, Casto",PHI,2205
"Abzianidze, Irma",GEO,2005
"Ac,Michal",SVK,2225
"Acebal,J..Maria",ESP,2300
"Acebal.Muniz,Antonio",ESP,2295
"Acevedo, Hilda",MEX,2070
"Acevedo,Armando",MEX,2305
"Acharya, Chandragupta-K",IND,2310
"Acic, Sladjana",YUG,2005
"Acimovic, Svetozar",YUG,2370
"Ackermann, Roland",SUI,2295
"Ackermann,Hans-Werner",GER,2255
"Acosta, Tomas",ARG,2250
"Acosta,Alejandro",COL,2345
"Ada, Baryalai",CAN,2225
"Adad, Julio",ARG,2275
"Adad,Carlos",ARG,2225
"Adam, A",KEN,2205
"Adamanova, L",RUS,2065
"Adams, James Bernard",ENG,2300
"Adams,Michael",ENG,2620
"Adamski,Andrzej",POL,2305
"Adamski,Jan",POL,2375
"Addison, Wiliam G",USA,2490
"Adelman,Charles..D",USA,2220
"Ademi,Sami",YUG,2240
"Ader, Walter",CHI,2270
"Adhami, Hesham",PLE,2205
"Adhami, Vangiel",ALB,2325
"Adianto,Utut",INA,2485
"Adla,Diego",ARG,2435
"Adler,Joel",SUI,2255
"Adler,Viktor",RUS,2370
"Adoamnei,Roxana",ROM,2055
"Adok,Janos",HUN,2240
"Adorjan,Andras",HUN,2535
"Adrian,Claude",FRA,2295
